source,target,importance
A1BG,A1BG,1.0
AAAS,AAAS,1.0
AACS,AACS,0.9999943
AADAT,AADAT,0.9999642
AAGAB,AAGAB,1.0
AAK1,AAK1,0.9999699
AAMDC,AAMDC,1.0
AAMP,AAMP,0.9999893
AANAT,AANAT,0.9999993
AAR2,AAR2,0.99996614
AARS2,AARS2,0.9999867
AARSD1,AARSD1,1.0
AASDH,AASDH,1.0
AASDHPPT,AASDHPPT,1.0
AASS,AASS,1.0
AATF,AATF,1.0
AATK,AATK,0.999996
ABAT,ABAT,0.9999774
HPSE2,ABCA1,0.61955136
CD244,ABCA1,0.84472394
ABCA1,ABCA1,0.999982
ABCA2,ABCA2,1.0
ABCA3,ABCA3,0.99994224
ABCA5,ABCA5,1.0
ABCA6,ABCA6,0.99998283
ABCA7,ABCA7,1.0
ABCB10,ABCB10,1.0
ABCB6,ABCB6,1.0
ABCB7,ABCB7,0.99997866
ABCB8,ABCB8,1.0
ABCB9,ABCB9,0.99995065
ABCC1,ABCC1,0.99995327
ABCC10,ABCC10,1.0
POTEF,ABCC2,0.57026345
PABPN1L,ABCC2,0.5739136
ABCC2,ABCC2,0.99993014
ABCC3,ABCC3,0.99995846
ABCC4,ABCC4,0.9999964
ABCC5,ABCC5,0.99999756
ABCC6,ABCC6,0.9999997
ABCD1,ABCD1,1.0
ABCD3,ABCD3,1.0
ABCD4,ABCD4,0.99997
ABCE1,ABCE1,0.9999774
ABCF1,ABCF1,0.99999183
ABCF2,ABCF2,0.99998325
ABCF3,ABCF3,1.0
SPATS2L,ABHD1,0.59516716
ABHD1,ABHD1,1.0
ABHD10,ABHD10,0.99999297
ABHD11,ABHD11,1.0
ABHD12,ABHD12,0.99998903
ABHD13,ABHD13,0.99998635
ABHD14A,ABHD14A,0.9999936
ABHD14B,ABHD14B,0.99998546
ABHD15,ABHD15,1.0
ABHD16A,ABHD16A,1.0
ABHD17A,ABHD17A,1.0
ABHD17B,ABHD17B,0.99998623
ABHD17C,ABHD17C,1.0
ABHD18,ABHD18,0.9999604
ABHD2,ABHD2,1.0
ABHD3,ABHD3,1.0
ABHD4,ABHD4,0.9999658
ABHD5,ABHD5,0.9999938
ABHD6,ABHD6,1.0
ABHD8,ABHD8,1.0
ABI1,ABI1,1.0
