source,target,importance
A1BG,A1BG,1.0
AAAS,AAAS,0.99999326
AACS,AACS,1.0
AADAT,AADAT,1.0
AAGAB,AAGAB,1.0
AAK1,AAK1,0.99996907
AAMDC,AAMDC,1.0
AAMP,AAMP,0.999986
AANAT,AANAT,0.9999996
AAR2,AAR2,1.0
AARS2,AARS2,1.0
AARSD1,AARSD1,1.0
AASDH,AASDH,1.0
AASDHPPT,AASDHPPT,1.0
AASS,AASS,0.99997276
AATF,AATF,1.0
DAB2,AATK,0.41393748
TAF7L,AATK,0.43346593
AATK,AATK,0.99997216
ABAT,ABAT,1.0
ABTB2,ABCA1,0.43525216
ITLN1,ABCA1,0.5859252
ABCA1,ABCA1,0.9999228
ABCA2,ABCA2,1.0
ABCA3,ABCA3,0.9999485
ABCA5,ABCA5,1.0
ABCA6,ABCA6,0.9999525
ABCA7,ABCA7,0.9999558
ABCB10,ABCB10,1.0
ABCB6,ABCB6,1.0
ABCB7,ABCB7,1.0
ABCB8,ABCB8,0.99995756
ABCB9,ABCB9,0.9999966
ABCC1,ABCC1,0.9999883
ABCC10,ABCC10,1.0
POTEF,ABCC2,0.49084434
ABCC2,ABCC2,1.0
ABCC3,ABCC3,1.0
ABCC4,ABCC4,1.0
ABCC5,ABCC5,0.9999799
ABCC6,ABCC6,1.0
ABCD1,ABCD1,0.99997437
ABCD3,ABCD3,0.99998766
ABCD4,ABCD4,1.0
ABCE1,ABCE1,1.0
ABCF1,ABCF1,1.0
ABCF2,ABCF2,0.9999708
ABCF3,ABCF3,1.0
ABHD1,ABHD1,0.99997413
ABHD10,ABHD10,1.0
ABHD11,ABHD11,1.0
ABHD12,ABHD12,0.99999034
ABHD13,ABHD13,0.9999973
ABHD14A,ABHD14A,1.0
ABHD14B,ABHD14B,1.0
ABHD15,ABHD15,1.0
ABHD16A,ABHD16A,1.0
ABHD17A,ABHD17A,1.0
ABHD17B,ABHD17B,0.99995214
ABHD17C,ABHD17C,0.999997
ABHD18,ABHD18,0.9999907
ABHD2,ABHD2,0.99997985
ABHD3,ABHD3,1.0
ABHD4,ABHD4,1.0
ABHD5,ABHD5,1.0
ABHD6,ABHD6,0.9999928
ABHD8,ABHD8,0.9999913
ABI1,ABI1,1.0
ABI2,ABI2,1.0
ABL1,ABL1,0.9999758
ABL2,ABL2,0.999984
ABR,ABR,1.0
ABRACL,ABRACL,0.9999962
