source,target,importance
ADCK5,ADCK5,0.9999799
ADTRP,ADCY10,0.48652112
ADCY10,ADCY10,1.0
ADCY3,ADCY3,1.0
ADCY4,ADCY4,0.99998003
ADCY6,ADCY6,0.99995655
ADCY7,ADCY7,1.0
ADCY9,ADCY9,1.0
ADD1,ADD1,0.9999648
ADD2,ADD2,0.9999938
ADD3,ADD3,1.0
PROC,ADGRA2,0.4008047
S100A14,ADGRA2,0.42273813
CHRNB4,ADGRA2,0.4427817
ADGRA2,ADGRA2,0.9999688
ADGRA3,ADGRA3,0.9999919
ADGRE2,ADGRE2,1.0
ADGRE5,ADGRE5,0.9999804
ADGRF3,ADGRF3,0.99995226
ADGRG3,ADGRG3,0.9999505
ADGRL1,ADGRL1,0.9999799
ADGRV1,ADGRV1,0.99999595
ADH5,ADH5,0.9999936
ADI1,ADI1,1.0
ADIPOR1,ADIPOR1,1.0
ADIPOR2,ADIPOR2,0.9999867
ADK,ADK,0.9999937
ADM,ADM,0.99999154
ADM2,ADM2,1.0
ADM5,ADM5,1.0
ADNP,ADNP,1.0
ADNP2,ADNP2,0.99999523
ADO,ADO,0.99998814
ADORA2B,ADORA2B,0.9999887
ADORA3,ADORA3,1.0
TMIGD3,ADORA3,1.0
ADPGK,ADPGK,1.0
ADPRH,ADPRH,0.9999733
ADPRHL1,ADPRHL1,0.99998444
ADPRM,ADPRM,1.0
ADRA1D,ADRA1D,1.0
ADRM1,ADRM1,0.9999968
ADSL,ADSL,1.0
ADCY10,ADTRP,0.48652112
ADTRP,ADTRP,0.99995786
AEBP1,AEBP1,1.0
AEBP2,AEBP2,1.0
AEN,AEN,1.0
AFAP1,AFAP1,0.9999552
AFDN,AFDN,1.0
AFF1,AFF1,0.99998957
AFF3,AFF3,0.99999934
AFF4,AFF4,0.99997514
AFG3L2,AFG3L2,0.99996686
AFMID,AFMID,1.0
AFTPH,AFTPH,1.0
AGA,AGA,0.99999577
AGAP1,AGAP1,1.0
AGAP3,AGAP3,1.0
AGAP4,AGAP4,0.9999919
AGAP5,AGAP5,0.99999183
AGAP6,AGAP6,1.0
AGBL3,AGBL3,1.0
AGBL4,AGBL4,0.99996823
AGBL5,AGBL5,1.0
AGER,AGER,0.99997133
AGFG1,AGFG1,1.0
AGFG2,AGFG2,0.9999481
AGGF1,AGGF1,1.0
AGK,AGK,0.9999716
AGL,AGL,1.0
AGMAT,AGMAT,0.9999684
AGO1,AGO1,0.9999809
AGO2,AGO2,1.0
AGO3,AGO3,0.9999998
AGO4,AGO4,1.0
AGPAT1,AGPAT1,1.0
AGPAT2,AGPAT2,0.9999893
AGPAT3,AGPAT3,1.0
AGPAT4,AGPAT4,1.0
AGPAT5,AGPAT5,1.0
AGPS,AGPS,1.0
AGRN,AGRN,0.99995947
AGTPBP1,AGTPBP1,1.0
AGTRAP,AGTRAP,1.0
AHCTF1,AHCTF1,1.0
AHCY,AHCY,0.9999974
AHCYL1,AHCYL1,0.9999955
AHCYL2,AHCYL2,0.99998385
AHDC1,AHDC1,0.9999606
AHI1,AHI1,0.99997354
AHNAK,AHNAK,0.9999629
AHRR,AHRR,0.99996716
AHSA1,AHSA1,1.0
AHSP,AHSP,0.9999735
AICDA,AICDA,0.9999704
AIDA,AIDA,1.0
AIF1,AIF1,1.0
AIF1L,AIF1L,0.9999593
AIFM1,AIFM1,1.0
AIFM2,AIFM2,0.9999825
AIG1,AIG1,1.0
AIMP1,AIMP1,1.0
AIMP2,AIMP2,1.0
AIP,AIP,0.99999964
AJUBA,AJUBA,1.0
AK1,AK1,1.0
AK2,AK2,0.99999815
AK4,AK4,1.0
AK6,AK6,1.0
TAF9,AK6,1.0
AK7,AK7,0.9999851
AK8,AK8,0.999966
AK9,AK9,0.9999614
AKAP1,AKAP1,1.0
AKAP10,AKAP10,0.9999872
AKAP11,AKAP11,0.9999749
AKAP13,AKAP13,0.99999344
PBX4,AKAP14,0.54338056
SLFNL1,AKAP14,0.7767754
AKAP14,AKAP14,0.999956
AKAP17A,AKAP17A,0.9999963
AKAP3,AKAP3,0.9999531
AKAP5,AKAP5,0.9999535
AKAP6,AKAP6,1.0
AKAP7,AKAP7,1.0
AKAP8,AKAP8,1.0
AKAP8L,AKAP8L,0.9999891
AKAP9,AKAP9,1.0
AKIP1,AKIP1,0.99999964
AKIRIN1,AKIRIN1,0.9999932
AKIRIN2,AKIRIN2,0.999967
AKNA,AKNA,0.9999623
AKR1A1,AKR1A1,1.0
AKR1C1,AKR1C1,0.9999673
SYNGR4,AKR1C3,0.4123547
AKR1C3,AKR1C3,1.0
AKR7A2,AKR7A2,0.99999243
AKR7A3,AKR7A3,1.0
AKT1,AKT1,0.99999255
AKT1S1,AKT1S1,1.0
AKT2,AKT2,0.9999779
AKT3,AKT3,1.0
AKTIP,AKTIP,0.999992
ALAD,ALAD,1.0
ALAS1,ALAS1,0.9999593
ALAS2,ALAS2,0.9999731
ALCAM,ALCAM,0.99996775
ALDH16A1,ALDH16A1,0.9999708
ALDH18A1,ALDH18A1,0.99996084
ALDH1B1,ALDH1B1,1.0
