source,target,importance
AL627309.1,AL627309.1,1.0
LINC00115,LINC00115,0.99999595
HES4,HES4,0.9999999
ISG15,ISG15,1.0
SDF4,SDF4,0.9999966
SCNN1D,SCNN1D,0.9999896
MXRA8,MXRA8,1.0
RP4-758J18.13,RP4-758J18.13,1.0
AL645728.1,AL645728.1,0.999992
C1orf233,C1orf233,1.0
NADK,NADK,0.9999995
PRKCZ,PRKCZ,0.9999966
MORN1,MORN1,1.0
RP3-395M20.12,RP3-395M20.12,0.9999982
FAM213B,FAM213B,1.0
TTC34,TTC34,0.9999981
ARHGEF16,ARHGEF16,1.0
WRAP73,WRAP73,1.0
SMIM1,SMIM1,1.0
LRRC47,LRRC47,0.9999945
CEP104,CEP104,0.9999998
C1orf174,C1orf174,0.9999973
LINC01134,LINC01134,1.0
KCNAB2,KCNAB2,1.0
RP1-120G22.11,RP1-120G22.11,0.99999475
ICMT,ICMT,1.0
ZBTB48,ZBTB48,0.9999998
KLHL21,KLHL21,0.9999991
THAP3,THAP3,0.9999985
RP11-312B8.1,RP11-312B8.1,0.9999983
VAMP3,VAMP3,1.0
RP3-467L1.4,RP3-467L1.4,0.9999987
UTS2,UTS2,0.99999803
RERE,RERE,1.0
PIK3CD,PIK3CD,0.9999969
RP11-558F24.4,RP11-558F24.4,0.99999845
CTNNBIP1,CTNNBIP1,0.9999911
UBE4B,UBE4B,0.99999684
APITD1,APITD1,0.99999607
APITD1-CORT,APITD1-CORT,1.0
RP4-635E18.6,RP4-635E18.6,1.0
FBXO2,FBXO2,1.0
MTHFR,MTHFR,1.0
PLOD1,PLOD1,1.0
EFHD2,EFHD2,0.9999979
CASP9,CASP9,1.0
DNAJC16,DNAJC16,1.0
SPEN,SPEN,0.99999446
ZBTB17,ZBTB17,0.99999434
CLCNKB,CLCNKB,0.9999985
C1orf134,C1orf134,1.0
RSG1,RSG1,1.0
NECAP2,NECAP2,0.9999983
TENC1,RP4-798A10.2,0.40328786
RP11-60I3.4,RP4-798A10.2,0.4052211
GFY,RP4-798A10.2,0.4970783
LAMP3,RP4-798A10.2,0.505434
FCGR1A,RP4-798A10.2,0.5079476
RP11-268G12.1,RP4-798A10.2,0.5157614
AXDND1,RP4-798A10.2,0.5943847
RP4-798A10.2,RP4-798A10.2,0.9999982
RP11-108M9.6,RP11-108M9.6,1.0
ACTL8,ACTL8,0.9999842
RP1-43E13.2,RP1-43E13.2,0.9999943
AKR7A3,AKR7A3,1.0
AKR7A2,AKR7A2,0.99999833
PQLC2,PQLC2,1.0
CAPZB,CAPZB,1.0
AC004540.5,MINOS1-NBL1,0.4848911
MINOS1-NBL1,MINOS1-NBL1,1.0
RP11-245C23.3,TMCO4,0.4269555
TMCO4,TMCO4,1.0
CAMK2N1,CAMK2N1,0.99998915
MUL1,MUL1,1.0
PINK1,PINK1,0.9999979
KIF17,KIF17,0.99998826
RAP1GAP,RAP1GAP,0.9999996
LINC00339,LINC00339,0.9999978
C1orf234,C1orf234,0.99999416
LUZP1,LUZP1,0.99999225
C1orf213,C1orf213,0.9999928
E2F2,E2F2,1.0
ID3,ID3,0.9999988
