source,target,importance
AL627309.1,AL627309.1,1.0
LINC00115,LINC00115,0.999989
HES4,HES4,0.99999994
ISG15,ISG15,1.0
SDF4,SDF4,1.0
SCNN1D,SCNN1D,0.999992
MXRA8,MXRA8,1.0
RP4-758J18.13,RP4-758J18.13,1.0
AL645728.1,AL645728.1,0.9999948
C1orf233,C1orf233,1.0
NADK,NADK,1.0
PRKCZ,PRKCZ,1.0
MORN1,MORN1,1.0
RP3-395M20.12,RP3-395M20.12,1.0
FAM213B,FAM213B,1.0
TTC34,TTC34,1.0
ARHGEF16,ARHGEF16,0.99999005
WRAP73,WRAP73,0.9999937
SMIM1,SMIM1,0.99999875
LRRC47,LRRC47,0.99999994
CEP104,CEP104,1.0
C1orf174,C1orf174,0.9999969
LINC01134,LINC01134,0.9999875
KCNAB2,KCNAB2,1.0
RP1-120G22.11,RP1-120G22.11,0.99999857
ICMT,ICMT,0.9999999
ZBTB48,ZBTB48,0.9999956
KLHL21,KLHL21,1.0
THAP3,THAP3,0.9999925
RP11-312B8.1,RP11-312B8.1,0.9999948
VAMP3,VAMP3,1.0
RP3-467L1.4,RP3-467L1.4,0.9999949
UTS2,UTS2,0.99999434
RERE,RERE,1.0
PIK3CD,PIK3CD,1.0
RP11-558F24.4,RP11-558F24.4,1.0
CTNNBIP1,CTNNBIP1,0.99999475
UBE4B,UBE4B,1.0
APITD1,APITD1,1.0
APITD1-CORT,APITD1-CORT,0.9999901
RP4-635E18.6,RP4-635E18.6,1.0
FBXO2,FBXO2,1.0
MTHFR,MTHFR,1.0
PLOD1,PLOD1,0.9999892
EFHD2,EFHD2,1.0
CASP9,CASP9,1.0
DNAJC16,DNAJC16,0.99999404
SPEN,SPEN,0.9999938
ZBTB17,ZBTB17,1.0
CLCNKB,CLCNKB,1.0
C1orf134,C1orf134,1.0
RSG1,RSG1,1.0
NECAP2,NECAP2,0.9999981
RP11-268G12.1,RP4-798A10.2,0.4158428
TENC1,RP4-798A10.2,0.42456403
C10orf54,RP4-798A10.2,0.44634956
ITLN1,RP4-798A10.2,0.49805343
CCL2,RP4-798A10.2,0.50866646
GFY,RP4-798A10.2,0.523178
AXDND1,RP4-798A10.2,0.5392085
FCGR1A,RP4-798A10.2,0.60034233
RP4-798A10.2,RP4-798A10.2,0.9999994
RP11-108M9.6,RP11-108M9.6,0.9999999
ACTL8,ACTL8,1.0
RP1-43E13.2,RP1-43E13.2,0.9999934
AKR7A3,AKR7A3,0.99999475
AKR7A2,AKR7A2,1.0
PQLC2,PQLC2,0.9999982
CAPZB,CAPZB,1.0
AC004540.5,MINOS1-NBL1,0.43785512
MINOS1-NBL1,MINOS1-NBL1,1.0
TMCO4,TMCO4,0.99999213
CAMK2N1,CAMK2N1,1.0
